mack,doanhthuthuan,loinhuangop,loinhuanthuan,loinhuantruocthue,loinhuansauthue,laitrencophieu,is_anomaly
ACB,27794702000000,0,22612156000000,21005871000000,16789768000000,3669.0,-1
ACV,22554602968650,13813367936240,14299443517504,14332852757948,11576593004986,4741.0,-1
BID,58007600000000,0,53269569000000,31383041000000,25121739000000,0.0,-1
BSR,123027071014650,436229788787,652262300853,680185076861,585338384397,202.0,-1
BTH,1814581527929,1017724061477,886536481781,887602934186,710071766324,28403.0,-1
BVH,39862204136345,-2327410087321,1123628115578,2620410226576,2157033004533,2809.0,-1
CTG,62402793000000,0,59357149000000,31758320000000,25475009000000,0.0,-1
DGC,9865301938473,3498556241379,3414160144988,3402608444483,3109580224213,7398.0,-1
EIB,5923525000000,0,5157489000000,4188417000000,3326804000000,0.0,-1
FOX,17610400252637,8315776716636,3633301864610,3587597717336,2861086103961,0.0,-1
FPT,62848794351368,23799752019317,11026253085978,11070838730842,9420078521864,4940.0,-1
FRT,40104492531184,7583060943947,543136778737,526957088186,408413632278,2331.0,-1
GAS,103564126562888,17654357438748,13156405325870,13172107496375,10590120585510,4354.0,-1
GEE,21129621819327,3064081106561,2156584949031,2152933971779,1714776780948,5294.0,-1
GEX,33759276317811,6765534957795,3569408615313,3615941969157,2666898119207,1902.0,-1
GVR,26254333056966,6908144005205,5001209170202,5915892471321,5103472212259,1289.0,-1
HDB,30856393000000,0,22052225000000,16730791000000,13247888000000,3671.0,-1
HPG,138855112131387,18497549127684,13267002948344,13693499624192,12020020984285,0.0,-1
HVN,105786761172125,13825619134926,2517315301248,7722924466662,7267426862160,3108.0,-1
IDC,8846410510226,3337259599769,2972638680223,2993040316467,2393118551557,6050.0,-1
IDP,7658150303528,3124965569608,1105078294809,1108404124001,875301760419,14162.0,-1
LPB,15393743000000,0,14121987000000,12168168000000,9720900000000,3904.0,-1
MBB,41152219000000,0,38405972000000,28829328000000,22951264000000,0.0,-1
MCH,30897225625237,14404685240219,9012591353499,9004312866417,7920537530999,10841.0,-1
MSB,10243064000000,0,8988305000000,6903842000000,5519377000000,2123.0,-1
MSN,83177720000000,24655738000000,6760549000000,6024803000000,4272384000000,1345.0,-1
MWG,134341152848802,27499210077021,5227045424891,4825763013078,3733288228720,2546.0,-1
NAB,7937820000000,0,5066300000000,4545398000000,3607093000000,0.0,-1
NVB,-1782193000000,0,-4864546000000,-5128090000000,-5128938000000,0.0,-1
NVL,9073375473961,109283992469,-636318342031,-2529910445056,-4351377507655,-3288.0,-1
OCB,8606668671493,0,6265322259962,4006295939181,3174072061375,1277.0,-1
OIL,124485076872538,4148868956598,609956814566,630571388242,473151550550,321.0,-1
PGV,40678150961762,2990904164029,-869531032727,-891808997552,-897431397098,-802.0,-1
PLX,284027777852687,17315480477748,3700946601691,3960150316381,3163218703173,1829.0,-1
PNJ,37823493039712,6671898925773,2652283253759,2651166452398,2114564367776,5722.0,-1
QNS,10243265693926,3485590046425,2547601126260,2645634581942,2377443959806,7683.0,-1
RAL,8356598448889,1910208508644,634507816850,630182874011,591290629378,25111.0,-1
REE,8383666601214,3124198406841,2675136495429,2690456397789,2396810865746,4234.0,-1
SAB,31872417486656,9318196568266,5676961187964,5647358628166,4494773426912,3291.0,-1
SHB,21127729000000,0,17729144000000,11543007000000,9216046000000,0.0,-1
SLS,1411694307969,528061984425,532352853985,532265537959,526358983476,53754.0,-1
SSB,9966410000000,0,8278781000000,6039399000000,4816026000000,1648.0,-1
SSI,8529279575474,5241317966526,3543940102934,3543527483662,2845109032672,0.0,-1
STB,24531698000000,0,14694729000000,12720365000000,10087495000000,5351.0,-1
TCB,35507963000000,0,31620662000000,27538368000000,21760104000000,0.0,-1
TMB,41718811185328,1518431857235,130402365465,201413058417,143743380009,9583.0,-1
TPB,12906139000000,0,11758895000000,7599683000000,6073575000000,0.0,-1
VCB,55405735000000,0,45551135000000,42236138000000,33853127000000,6053.0,-1
VEA,4118788520689,619112329819,7619213903386,7615101904302,7421778312671,5536.0,-1
VGI,35363346994645,18063434519271,10409598887899,10720383962364,7187139086792,1816.0,-1
VHM,102045377000000,32424954000000,41357323000000,40860441000000,35052468000000,7257.0,-1
VIB,16750412000000,0,13357758000000,9004300000000,7204467000000,2385.0,-1
VIC,192159467000000,28112144000000,11251872000000,16724348000000,5251002000000,3155.0,-1
VJC,71858661874889,6966591239887,1431550425875,1869094088920,1426617147790,2632.0,-1
VNM,61782609528445,25590176323124,11593977638387,11599653741335,9452892989948,4022.0,-1
VPB,49080407000000,0,47915324000000,20012700000000,15986826000000,1989.0,-1
VRE,8939117000000,4755392000000,4720279000000,5133329000000,4095780000000,0.0,-1
